2026-01-31 23:08:06 | INFO | Epoch 000 | Step 00000 | Loss 0.08887 | MSE 0.08883 | L1 0.00004 | L0 4129.56 | R2 -2.3518
2026-01-31 23:14:28 | INFO | Epoch 000 | Step 00100 | Loss 0.01032 | MSE 0.01031 | L1 0.00001 | L0 557.27 | R2 0.6174
2026-01-31 23:16:51 | INFO | Epoch 000 | Step 00000 | Loss 0.08887 | MSE 0.08883 | L1 0.00004 | L0 4129.56 | R2 -2.3518
2026-01-31 23:18:05 | INFO | Epoch 000 | Step 00000 | Loss 0.08887 | MSE 0.08883 | L1 0.00004 | L0 4129.56 | R2 -2.3518
2026-01-31 23:22:10 | INFO | Epoch 000 | Step 00000 | Loss 0.09026 | MSE 0.09021 | L1 0.00004 | L0 4127.61 | R2 -2.3535
2026-01-31 23:22:42 | INFO | Epoch 000 | Step 00100 | Loss 0.01072 | MSE 0.01071 | L1 0.00001 | L0 565.11 | R2 0.6057
2026-01-31 23:23:11 | INFO | Epoch 000 | Step 00200 | Loss 0.00613 | MSE 0.00611 | L1 0.00002 | L0 661.30 | R2 0.7723
2026-01-31 23:23:40 | INFO | Epoch 000 | Step 00300 | Loss 0.00480 | MSE 0.00478 | L1 0.00002 | L0 695.94 | R2 0.8244
2026-01-31 23:24:09 | INFO | Epoch 000 | Step 00400 | Loss 0.00382 | MSE 0.00380 | L1 0.00002 | L0 722.34 | R2 0.8612
2026-01-31 23:24:39 | INFO | Epoch 000 | Step 00500 | Loss 0.00291 | MSE 0.00289 | L1 0.00002 | L0 737.72 | R2 0.8874
2026-01-31 23:25:08 | INFO | Epoch 000 | Step 00600 | Loss 0.00252 | MSE 0.00250 | L1 0.00002 | L0 748.70 | R2 0.9054
2026-01-31 23:25:37 | INFO | Epoch 000 | Step 00700 | Loss 0.00229 | MSE 0.00227 | L1 0.00002 | L0 758.00 | R2 0.9208
2026-01-31 23:27:31 | INFO | Epoch 000 | Step 00000 | Loss 0.09026 | MSE 0.09021 | L1 0.00004 | L0 4127.61 | R2 -2.3535
2026-01-31 23:28:01 | INFO | Epoch 000 | Step 00100 | Loss 0.01072 | MSE 0.01071 | L1 0.00001 | L0 565.11 | R2 0.6057
2026-01-31 23:28:31 | INFO | Epoch 000 | Step 00200 | Loss 0.00613 | MSE 0.00611 | L1 0.00002 | L0 661.30 | R2 0.7723
2026-01-31 23:29:02 | INFO | Epoch 000 | Step 00300 | Loss 0.00480 | MSE 0.00478 | L1 0.00002 | L0 695.94 | R2 0.8244
2026-01-31 23:29:32 | INFO | Epoch 000 | Step 00400 | Loss 0.00382 | MSE 0.00380 | L1 0.00002 | L0 722.34 | R2 0.8612
2026-01-31 23:30:02 | INFO | Epoch 000 | Step 00500 | Loss 0.00291 | MSE 0.00289 | L1 0.00002 | L0 737.72 | R2 0.8874
2026-01-31 23:30:31 | INFO | Epoch 000 | Step 00600 | Loss 0.00252 | MSE 0.00250 | L1 0.00002 | L0 748.70 | R2 0.9054
2026-01-31 23:31:01 | INFO | Epoch 000 | Step 00700 | Loss 0.00229 | MSE 0.00227 | L1 0.00002 | L0 758.00 | R2 0.9208
2026-01-31 23:31:25 | INFO | Epoch 001 | Step 00000 | Loss 0.00204 | MSE 0.00202 | L1 0.00002 | L0 764.16 | R2 0.9264
2026-01-31 23:31:55 | INFO | Epoch 001 | Step 00100 | Loss 0.00172 | MSE 0.00170 | L1 0.00002 | L0 769.27 | R2 0.9335
2026-01-31 23:32:24 | INFO | Epoch 001 | Step 00200 | Loss 0.00149 | MSE 0.00147 | L1 0.00002 | L0 773.80 | R2 0.9466
2026-01-31 23:32:53 | INFO | Epoch 001 | Step 00300 | Loss 0.00134 | MSE 0.00131 | L1 0.00002 | L0 777.09 | R2 0.9521
2026-01-31 23:33:23 | INFO | Epoch 001 | Step 00400 | Loss 0.00118 | MSE 0.00116 | L1 0.00002 | L0 780.81 | R2 0.9555
2026-01-31 23:33:52 | INFO | Epoch 001 | Step 00500 | Loss 0.00128 | MSE 0.00125 | L1 0.00002 | L0 780.31 | R2 0.9545
2026-01-31 23:34:21 | INFO | Epoch 001 | Step 00600 | Loss 0.00094 | MSE 0.00092 | L1 0.00002 | L0 786.78 | R2 0.9672
2026-01-31 23:34:50 | INFO | Epoch 001 | Step 00700 | Loss 0.00102 | MSE 0.00099 | L1 0.00002 | L0 786.80 | R2 0.9635
2026-01-31 23:35:14 | INFO | Epoch 002 | Step 00000 | Loss 0.00110 | MSE 0.00108 | L1 0.00002 | L0 788.00 | R2 0.9604
2026-01-31 23:35:44 | INFO | Epoch 002 | Step 00100 | Loss 0.00079 | MSE 0.00077 | L1 0.00002 | L0 788.30 | R2 0.9701
2026-01-31 23:36:13 | INFO | Epoch 002 | Step 00200 | Loss 0.00072 | MSE 0.00069 | L1 0.00002 | L0 789.50 | R2 0.9742
2026-01-31 23:36:42 | INFO | Epoch 002 | Step 00300 | Loss 0.00075 | MSE 0.00073 | L1 0.00002 | L0 789.67 | R2 0.9727
2026-01-31 23:37:12 | INFO | Epoch 002 | Step 00400 | Loss 0.00066 | MSE 0.00064 | L1 0.00002 | L0 791.19 | R2 0.9761
